office_from_id,horizon,rows,y_sum,wins,ties,win_rate,tie_rate,ml_mean_abs_err,strong_mean_abs_err,delta_abs_err_mean,expected_loss_abs_mean,expected_gain_abs_mean,expected_loss_wape_like,expected_gain_wape_like,ml_abs_err_sum,strong_abs_err_sum,gap_abs_err_sum,loss_abs_sum,gain_abs_sum
7,7,4277,91474.0,2579,0,0.6029927519289221,0.0,5.568997117785077,6.443344858391195,-0.8743477406061185,0.9516113294026692,1.825959070008788,0.044493972668246895,0.08537537379394786,23818.600672766774,27558.185959339142,-3739.585286572369,4070.0416558552165,7809.626942427586
7,8,4264,91194.0,2616,0,0.6135084427767354,0.0,5.667081267313449,6.472365198730304,-0.8052839314168553,0.9736284611318547,1.77891239254871,0.045524395884227346,0.08317742879825098,24164.434523824548,27598.165207386017,-3433.730683561471,4151.551758266229,7585.2824418277
7,9,4251,90884.0,2573,0,0.6052693483886145,0.0,5.6669391173243655,6.520935187253412,-0.8539960699290461,0.997926183212834,1.8519222531418802,0.04667690908012145,0.08662164405292606,24090.158187745878,27720.49548101425,-3630.337293268375,4242.1842048377575,7872.521498106133
7,10,4238,90494.0,2528,0,0.5965077866918358,0.0,5.666590533654356,6.567553483860399,-0.9009629502060436,1.0768907831026624,1.977853733308706,0.05043277055704337,0.09262651802066763,24015.01068162716,27833.291664600372,-3818.2809829732128,4563.863138789083,8382.144121762296
8,1,2345,301494.0,1935,0,0.8251599147121536,0.0,30.357019977705278,86.53340518194983,-56.17638520424455,5.7202368614824985,61.89662206572706,0.04449161655016835,0.4814277522741081,71187.21184771888,202920.83515167236,-131733.62330395347,13413.955440176458,145147.57874412995
8,2,2338,301043.0,1726,0,0.7382378100940975,0.0,48.421158408932385,87.58984277103578,-39.16868436210339,8.084915307492128,47.25359966959551,0.06279013957778987,0.3669871613939348,113208.66836008392,204785.05239868164,-91576.38403859772,18902.531988916595,110478.91602751431
8,3,2331,300217.0,1564,0,0.670956670956671,0.0,63.811415609010645,88.18059275990032,-24.369177150889673,10.224381374465656,34.59355852535532,0.07938602072460735,0.2685976640983131,148744.4097846038,205548.96172332764,-56804.551938723824,23833.032983879442,80637.58492260326
8,4,2324,299151.0,1434,0,0.617039586919105,0.0,76.61640487029709,88.23171855906817,-11.615313688771066,8.112987687036684,19.72830137580775,0.06302697762893406,0.15326230698669638,178056.52491857045,205050.5139312744,-26993.989012703958,18854.583384673253,45848.57239737721
8,5,2317,298071.0,1339,0,0.5779024600776866,0.0,78.86547889504506,88.65185454841519,-9.786375653370131,8.458745936400843,18.24512158977097,0.0657525030433714,0.14182509108064636,182731.3145998194,205406.34698867798,-22675.03238885859,19598.914334640755,42273.94672349934
8,6,2310,295642.0,1273,0,0.5510822510822511,0.0,79.44267498775281,88.44644217387939,-9.003767186126575,9.314451225854766,18.31821841198134,0.07277850349992392,0.14312947595969752,183512.579221709,204311.28142166138,-20798.70219995239,21516.382331724508,42315.0845316769
8,7,2303,293300.0,1232,0,0.5349544072948328,0.0,81.20763175878508,87.76031715933054,-6.55268540054546,9.79762127660612,16.35030667715158,0.07693120286404329,0.1283830762955339,187021.17594048203,202112.01041793823,-15090.834477456196,22563.921800023894,37654.75627748009
8,8,2296,291207.0,1221,0,0.5317944250871081,0.0,80.16990346439601,86.85943905235582,-6.689535587959818,10.700687964276385,17.3902235522362,0.08436878085340868,0.13711192820204982,184070.09835425325,199429.27206420898,-15359.173709955741,24568.77956597858,39927.95327593432
8,9,2289,289034.0,1175,0,0.5133245958934032,0.0,80.08504114213761,85.08577687608044,-5.000735733942837,10.185269794859119,15.186005528801955,0.08066207629701877,0.12026532053470412,183314.659174353,194761.34326934814,-11446.684094995153,23314.082560432522,34760.76665542767
8,10,2282,288254.0,1143,0,0.5008764241893077,0.0,80.11087371548395,84.27437144220137,-4.163497726717418,10.241789672133974,14.405287398851394,0.08108044999136084,0.11404131718615831,182813.01381873435,192314.11563110352,-9501.101812369148,23371.76403180973,32872.86584417888
9,1,670,72412.0,490,0,0.7313432835820896,0.0,22.038281511985716,42.58889269472948,-20.55061118274376,4.558312545067037,25.108923727810797,0.042176288532217235,0.23232308039597352,14765.64861303043,28534.55810546875,-13768.90949243832,3054.0694051949145,16822.978897633235
9,2,668,72187.0,463,0,0.6931137724550899,0.0,30.09147901304371,42.94625701447447,-12.85477800143076,4.776771803589352,17.63154980502011,0.044203022217264694,0.1631578437911734,20101.107980713197,28688.099685668945,-8586.991704955748,3190.8835647976866,11777.875269753435
9,3,666,71956.0,416,0,0.6246246246246246,0.0,37.6637881788108,43.26888733368378,-5.605099154872985,4.698570138735142,10.303669293608126,0.043488349997187224,0.09536722093422385,25084.08292708799,28817.0789642334,-3732.9960371454076,3129.247712397604,6862.243749543011
9,4,664,71714.0,355,0,0.5346385542168675,0.0,41.64042110006681,43.08324595531786,-1.442824855251043,5.161284203185714,6.604109058436756,0.04778833576310503,0.061147452586691665,27649.23961044436,28607.275314331055,-958.0357038866925,3427.092710915314,4385.128414802006
9,5,662,71509.0,353,0,0.5332326283987915,0.0,41.251284853320364,42.931745511887655,-1.6804606585672928,4.100535364446506,5.780996023013799,0.03796101765181427,0.05351800986218706,27308.35057289808,28420.81552886963,-1112.4649559715479,2714.5544112635866,3827.0193672351347
9,6,660,71373.0,367,0,0.556060606060606,0.0,40.98593049805378,42.932927738536485,-1.9469972404827045,3.351460919223278,5.298458159705982,0.030991610366488218,0.04899587218424262,27050.714128715495,28335.732307434082,-1285.018178718585,2211.9642066873635,3496.982385405948
9,7,658,71240.0,341,0,0.5182370820668692,0.0,41.34324865838102,42.55537629055035,-1.2121276321693275,3.2943120045786594,4.506439636747987,0.030427530867669257,0.04162320720073239,27203.85761721471,28001.43759918213,-797.5799819674174,2167.657299012758,2965.2372809801755
9,8,656,71138.0,346,0,0.5274390243902439,0.0,41.04511443536425,42.33314526953348,-1.288030834169239,3.039944347258755,4.327975181427994,0.028032886668190603,0.03991047989846164,26925.595069598945,27770.543296813965,-844.9482272150208,1994.2034918017432,2839.1517190167638
