horizon,feature,gain,split,block,gain_pct_horizon
5,target_lag_8,8752.673983573914,348,short_lags,0.0003554658558248641
5,target_lag_12,7112.412979125977,282,short_lags,0.0002888511523849261
5,target_lag_24,11539.239233016968,382,short_lags,0.0004686345632466212
5,target_lag_48,12507.604079246521,450,mid_lags,0.0005079620464205287
5,target_lag_96,10339.080926895142,331,mid_lags,0.00041989342422881474
5,target_lag_144,17884.132557868958,321,mid_lags,0.0007263150092530258
5,target_lag_192,22548.545804023743,304,long_lags,0.0009157473643912242
5,target_lag_240,22581.11430454254,349,long_lags,0.000917070044743717
5,target_lag_288,27074.399097442627,409,long_lags,0.0010995524869517265
5,target_lag_336,14691.892984390259,362,long_lags,0.0005966709514354778
5,target_lag_672,6542.708511352539,271,long_lags,0.00026571416743788204
5,target_roll_mean_2,5937.292988777161,190,roll_mean,0.000241126875912368
5,target_roll_std_2,3829.6956930160522,130,roll_std,0.00015553259033999653
5,target_roll_mean_4,6247.643292427063,226,roll_mean,0.0002537309025788991
5,target_roll_std_4,6417.451793670654,239,roll_std,0.0002606272092771916
5,target_roll_mean_8,8523.874075889587,245,roll_mean,0.0003461737748961912
5,target_roll_std_8,6890.351606369019,305,roll_std,0.0002798327385766621
5,target_roll_mean_16,17486.071327209473,410,roll_mean,0.0007101488437711834
5,target_roll_std_16,9530.5568151474,371,roll_std,0.0003870574342357205
5,target_roll_mean_48,760368.0139923096,637,roll_mean,0.030880262116796585
5,target_roll_std_48,194745.34220981598,564,roll_std,0.007909048122486108
5,target_roll_mean_96,15371161.708144188,1122,roll_mean,0.6242575882366878
5,target_roll_std_96,3128295.0633296967,584,roll_std,0.12704712686044004
5,same_slot_mean_7d,495498.7363100052,1237,same_slot,0.02012332262039259
5,future_hour_5,487005.32960510254,5002,future_time,0.01977838619423382
5,future_minute_5,34.76039981842041,2,future_time,1.411698332813257e-06
5,future_dow_5,89848.93582344055,1046,future_time,0.0036489681813090327
6,route_id,2241849.7073993683,24764,ids_time,0.08603292106927489
6,office_from_id,467661.2915496826,2820,ids_time,0.017946906454189695
6,hour,816155.9775924683,7936,ids_time,0.031320691377605014
6,minute,9736.910963058472,139,ids_time,0.00037366237780280334
6,dow,108997.96417999268,1544,ids_time,0.004182891126937818
6,target_2h,13986.105617523193,448,current_target,0.000536728896985137
6,status_sum,4179.312092781067,125,status_agg,0.00016038471544963697
6,status_max,1616.9870052337646,82,status_agg,6.205327454921025e-05
6,status_1,47552.01638031006,281,raw_status,0.0018248497472552897
6,status_2,14932.247262954712,366,raw_status,0.0005730379007658544
6,status_3,37965.417068481445,477,raw_status,0.0014569557090442834
6,status_4,65879.58702087402,711,raw_status,0.0025281861186038927
6,status_5,298192.06935596466,1593,raw_status,0.011443378510928578
6,status_6,21314.44612979889,305,raw_status,0.0008179603010263847
6,status_7,1580.5723009109497,74,raw_status,6.065582878269633e-05
6,status_8,4987.053342819214,170,raw_status,0.0001913824843810535
6,target_lag_1,4901.005208015442,213,short_lags,0.00018808031280135426
6,target_lag_2,8712.313579559326,289,short_lags,0.00033434256723235083
6,target_lag_3,6754.291955947876,248,short_lags,0.0002592017943071618
6,target_lag_4,6912.073340415955,285,short_lags,0.00026525679137112196
6,target_lag_6,8786.949107170105,390,short_lags,0.00033720677014243376
6,target_lag_8,10283.702613830566,456,short_lags,0.00039464598021689414
6,target_lag_12,9347.73502254486,369,short_lags,0.0003587274145616195
6,target_lag_24,11798.086795806885,481,short_lags,0.0004527617827020058
6,target_lag_48,14321.74631023407,504,mid_lags,0.0005496093987994754
6,target_lag_96,11521.665699958801,409,mid_lags,0.0004421538841250009
6,target_lag_144,23773.240381240845,446,mid_lags,0.0009123186565672134
6,target_lag_192,19491.394976615906,408,long_lags,0.0007479991366140809
6,target_lag_240,27458.778679847717,454,long_lags,0.0010537543756947267
6,target_lag_288,34269.92683029175,474,long_lags,0.0013151380756297468
6,target_lag_336,23882.246006011963,482,long_lags,0.0009165018416759598
6,target_lag_672,8829.549211502075,422,long_lags,0.0003388415859828706
6,target_roll_mean_2,7184.018105506897,274,roll_mean,0.0002756929068845977
6,target_roll_std_2,2554.817398071289,115,roll_std,9.804332682481738e-05
6,target_roll_mean_4,7789.097550392151,246,roll_mean,0.0002989133537997665
6,target_roll_std_4,5926.9524030685425,283,roll_std,0.00022745192355738412
6,target_roll_mean_8,14009.873978614807,337,roll_mean,0.0005376410283947456
6,target_roll_std_8,9429.78828048706,444,roll_std,0.00036187627928734956
6,target_roll_mean_16,16216.630989074707,486,roll_mean,0.0006223272368739944
6,target_roll_std_16,11829.804495811462,472,roll_std,0.000453978976866265
6,target_roll_mean_48,948530.0209531784,745,roll_mean,0.03640065975661106
6,target_roll_std_48,304890.62865257263,691,roll_std,0.011700441516241035
6,target_roll_mean_96,16203830.428482056,1299,roll_mean,0.6218360042924902
6,target_roll_std_96,3314176.2654180527,672,roll_std,0.12718437998376586
6,same_slot_mean_7d,583986.2549619675,1258,same_slot,0.022410977512389574
6,future_hour_6,160390.24189281464,1999,future_time,0.006155114223537141
6,future_minute_6,1261.1020135879517,18,future_time,4.839588025781431e-05
6,future_dow_6,78406.45580291748,1210,future_time,0.0030089155402121363
7,route_id,12594634.470496178,20993,ids_time,0.6157757507609957
7,office_from_id,3102700.996834755,2462,ids_time,0.15169698177334578
7,hour,667535.9381904602,4165,ids_time,0.03263710784636868
7,minute,31.988500595092773,2,ids_time,1.5639789321242445e-06
7,dow,101406.89549827576,1119,ids_time,0.00495797693486634
7,target_2h,10530.71842956543,267,current_target,0.0005148669508598164
7,status_sum,14412.699447631836,65,status_agg,0.0007046644222703228
7,status_max,8759.352014541626,50,status_agg,0.0004282614613047771
7,status_1,63318.43381214142,270,raw_status,0.0030957592464488375
7,status_2,12956.607381820679,228,raw_status,0.0006334732982164723
7,status_3,58144.77665042877,480,raw_status,0.0028428092596590976
7,status_4,86098.24659919739,592,raw_status,0.004209507831531172
7,status_5,175401.1403980255,695,raw_status,0.008575696989535093
7,status_6,12201.820510864258,80,raw_status,0.0005965703255088077
7,status_7,329.5527982711792,16,raw_status,1.6112466165350148e-05
7,status_8,1820.5214986801147,71,raw_status,8.900877554266302e-05
7,target_lag_1,4354.286425590515,141,short_lags,0.0002128893854781941
7,target_lag_2,3309.845994949341,119,short_lags,0.0001618246966370999
7,target_lag_3,2998.2940998077393,117,short_lags,0.00014659232902998563
7,target_lag_4,4995.051694869995,171,short_lags,0.000244217624156057
7,target_lag_6,5442.272691726685,210,short_lags,0.00026608311344362816
7,target_lag_8,6529.480514526367,252,short_lags,0.00031923878182654134
7,target_lag_12,8317.122422218323,265,short_lags,0.00040664001132466635
7,target_lag_24,7700.495037078857,256,short_lags,0.00037649191993594617
7,target_lag_48,12129.017594337463,355,mid_lags,0.0005930108517752194
7,target_lag_96,8922.414774894714,287,mid_lags,0.00043623391131218306
7,target_lag_144,21533.572936058044,324,mid_lags,0.001052817536890804
7,target_lag_192,15891.476992607117,288,long_lags,0.0007769646827581353
7,target_lag_240,23925.99614715576,309,long_lags,0.0011697876802008616
7,target_lag_288,17440.924695014954,318,long_lags,0.0008527201423111823
7,target_lag_336,12680.807042121887,286,long_lags,0.0006199888924851268
7,target_lag_672,5329.181507110596,237,long_lags,0.0002605538692821913
7,target_roll_mean_2,6205.894410133362,188,roll_mean,0.00030341803872874034
7,target_roll_std_2,963.8792028427124,48,roll_std,4.712589644135964e-05
7,target_roll_mean_4,9644.86974143982,168,roll_mean,0.0004715561154188177
